Year,Province,Division,District,Admin_Type,Urban_Rural,Dominant_Sector,Population,Population_Density,Area_km2,Literacy_Rate,Male_Literacy,Female_Literacy,GDP_Per_Capita,Poverty_Rate,Unemployment_Rate,Num_Schools,Num_Hospitals,Electricity_Access,Water_Access,Road_Network_km,Annual_Rainfall_mm,Avg_Temperature_C,Crime_Rate_per100k,Health_Expenditure_PKR,Education_Expenditure_PKR,Agriculture_Share_pct,Infant_Mortality_per1000,Life_Expectancy
2023,Khyber-Pakhtunkhwa,Malakand,Chitral,District,Urban,Agriculture,786447,138.57,5675.3,59.3,66.87,48.27,47891.0,28.04,12.83,158,16,66.38,68.78,3422,702.1,23.0,26.29,2143.0,2082.0,42.04,46.4,60.88
2024,Khyber-Pakhtunkhwa,Malakand,Chitral,District,Rural,Education,902649,152.57,5916.3,59.96,69.54,48.42,35814.0,26.49,13.94,406,9,68.21,69.18,2751,565.4,28.4,30.33,1539.0,2387.0,41.51,41.49,59.27
2015,Khyber-Pakhtunkhwa,Malakand,Dir,District,Semi-Urban,Services,2920286,589.76,4951.6,49.21,52.18,30.03,52659.0,29.99,8.91,939,36,49.98,50.6,1700,504.3,26.2,33.62,1871.0,2686.0,23.38,49.41,60.52
2016,Khyber-Pakhtunkhwa,Malakand,Dir,District,Urban,Mining,2986593,1131.53,2639.4,55.87,62.17,39.9,55308.0,29.1,11.31,947,34,64.58,48.33,1538,722.5,30.4,31.57,1682.0,2026.0,22.52,47.23,62.52
2017,Khyber-Pakhtunkhwa,Malakand,Dir,District,Urban,Mining,3021584,1387.8,2177.3,51.85,54.81,42.68,41982.0,30.33,11.46,1204,31,50.56,56.2,2132,303.1,21.2,21.96,874.0,2775.0,34.85,46.8,61.24
2018,Khyber-Pakhtunkhwa,Malakand,Dir,District,Rural,Services,3228363,497.25,6492.4,49.48,56.69,33.5,45102.0,37.43,14.75,1598,35,44.92,46.12,7311,720.9,26.0,20.12,1871.0,3011.0,47.4,60.17,60.68
2019,Khyber-Pakhtunkhwa,Malakand,Dir,District,Semi-Urban,Manufacturing,3075109,732.27,4199.4,48.66,52.89,32.5,59026.0,38.73,12.03,1360,63,47.97,54.74,3176,734.2,29.3,26.13,1669.0,3260.0,13.35,51.64,61.49
2020,Khyber-Pakhtunkhwa,Malakand,Dir,District,Rural,Agriculture,3269066,563.53,5801.1,61.45,70.06,43.83,56648.0,34.07,8.67,1110,34,61.81,70.88,6695,647.1,22.4,31.77,2199.0,2257.0,49.49,42.22,63.71
2021,Khyber-Pakhtunkhwa,Malakand,Dir,District,Rural,Education,3379873,1570.89,2151.6,55.31,58.19,40.78,61980.0,35.41,9.39,1306,49,57.04,50.75,2096,498.4,19.8,43.44,1246.0,2026.0,33.23,37.71,60.4
2022,Khyber-Pakhtunkhwa,Malakand,Dir,District,Semi-Urban,Manufacturing,3446332,1877.23,1835.9,57.46,61.26,42.61,37725.0,30.81,9.48,1058,61,57.42,60.52,1996,568.9,24.8,33.83,1510.0,1871.0,23.5,44.89,61.76
2023,Khyber-Pakhtunkhwa,Malakand,Dir,District,Rural,Manufacturing,3578985,782.19,4575.6,64.17,68.64,52.46,54637.0,31.27,12.33,1240,67,72.19,72.48,3286,632.0,23.9,16.6,1615.0,1887.0,29.12,41.1,63.65
2024,Khyber-Pakhtunkhwa,Malakand,Dir,District,Urban,Agriculture,3725405,591.09,6302.6,58.99,69.89,46.38,60743.0,29.28,12.5,1079,42,60.43,58.38,5080,367.4,22.1,16.67,1804.0,3462.0,45.23,52.75,59.48
2015,Khyber-Pakhtunkhwa,Malakand,Malakand P.A.,District,Urban,Healthcare,1596297,650.16,2455.2,57.96,68.72,49.64,37606.0,28.74,12.91,737,23,55.45,61.99,2118,272.8,24.3,16.98,1822.0,2051.0,34.12,52.49,62.42
2016,Khyber-Pakhtunkhwa,Malakand,Malakand P.A.,District,Urban,Services,1625416,2502.95,649.4,51.87,60.42,38.57,44660.0,30.67,11.24,390,18,48.03,58.18,507,706.1,28.7,25.26,2213.0,2837.0,33.34,46.64,62.89
2017,Khyber-Pakhtunkhwa,Malakand,Malakand P.A.,District,Semi-Urban,Mining,1660423,620.39,2676.4,48.92,58.47,31.23,49831.0,42.82,10.98,668,26,50.22,52.64,1761,374.4,18.2,37.09,1722.0,1808.0,33.69,51.7,57.71
2018,Khyber-Pakhtunkhwa,Malakand,Malakand P.A.,District,Rural,Agriculture,1681759,267.24,6293.1,61.34,66.04,45.23,34268.0,29.28,14.42,613,29,57.06,67.82,4745,577.6,19.8,21.78,1409.0,2032.0,13.82,39.35,64.5
2019,Khyber-Pakhtunkhwa,Malakand,Malakand P.A.,District,Semi-Urban,Services,1664430,364.79,4562.7,52.53,58.78,35.76,53760.0,34.52,12.84,349,36,56.1,52.47,2494,665.7,30.0,11.61,1402.0,2181.0,43.46,48.44,61.08
2020,Khyber-Pakhtunkhwa,Malakand,Malakand P.A.,District,Rural,Construction,1818442,677.44,2684.3,62.87,65.05,54.2,45310.0,27.3,12.57,797,18,65.0,63.11,3103,703.8,25.5,26.68,1943.0,2654.0,32.37,50.93,60.91
2021,Khyber-Pakhtunkhwa,Malakand,Malakand P.A.,District,Urban,Manufacturing,1811552,2638.1,686.7,50.94,53.78,36.49,50738.0,33.52,11.22,419,27,53.0,45.48,740,405.3,20.0,33.54,1760.0,2029.0,35.24,52.87,58.6
2022,Khyber-Pakhtunkhwa,Malakand,Malakand P.A.,District,Urban,Mining,1753798,432.89,4051.4,50.53,54.04,40.46,53779.0,34.82,11.42,420,23,48.97,58.3,3398,376.0,22.4,38.08,2482.0,2190.0,24.46,46.86,60.99
2023,Khyber-Pakhtunkhwa,Malakand,Malakand P.A.,District,Rural,Construction,1801487,432.48,4165.5,57.48,66.81,41.38,53201.0,30.02,13.54,514,18,55.27,58.08,3871,491.5,25.8,4.31,1664.0,3207.0,51.46,45.43,62.03
2024,Khyber-Pakhtunkhwa,Malakand,Malakand P.A.,District,Urban,Construction,1809910,1036.32,1746.5,65.94,75.43,53.63,62552.0,25.39,11.75,546,18,59.93,64.53,538,335.4,29.2,19.04,1472.0,4368.0,34.62,33.66,65.61
2015,Khyber-Pakhtunkhwa,Malakand,Shangla,District,Rural,Construction,2374256,813.69,2917.9,59.48,65.19,40.2,32675.0,31.96,7.96,508,32,56.02,56.36,2090,592.5,29.2,21.89,1571.0,2192.0,37.2,46.24,64.52
2016,Khyber-Pakhtunkhwa,Malakand,Shangla,District,Rural,Education,2440742,1611.0,1515.0,47.17,52.28,27.51,52815.0,36.18,9.35,683,27,42.6,48.42,582,325.2,18.9,41.65,1783.0,1785.0,18.45,51.67,59.51
2017,Khyber-Pakhtunkhwa,Malakand,Shangla,District,Rural,Services,2497492,2495.52,1000.8,58.87,65.13,40.2,45643.0,31.08,10.66,638,26,58.16,50.32,862,346.3,22.0,37.56,1465.0,1834.0,42.82,47.86,65.89
2018,Khyber-Pakhtunkhwa,Malakand,Shangla,District,Rural,Healthcare,2545795,2354.88,1081.1,54.39,64.06,40.58,49282.0,27.31,12.12,1036,30,53.15,51.49,1154,301.2,29.2,26.86,1880.0,3384.0,24.86,49.2,61.05
2019,Khyber-Pakhtunkhwa,Malakand,Shangla,District,Rural,Agriculture,2656007,362.88,7319.2,59.12,65.87,51.97,49194.0,39.06,10.46,1010,66,56.68,54.58,8097,714.8,26.6,18.82,1061.0,2483.0,10.01,45.76,61.13
2020,Khyber-Pakhtunkhwa,Malakand,Shangla,District,Rural,Mining,2634145,891.97,2953.2,52.54,59.76,42.87,52486.0,36.48,11.1,752,56,55.69,52.21,3124,442.8,24.6,19.72,2554.0,3560.0,33.88,49.46,61.56
2021,Khyber-Pakhtunkhwa,Malakand,Shangla,District,Urban,Construction,2848888,419.01,6799.1,52.12,54.37,41.9,55838.0,34.08,13.09,773,41,58.74,58.01,6756,529.0,24.1,16.1,1696.0,2622.0,26.46,51.13,58.53
2022,Khyber-Pakhtunkhwa,Malakand,Shangla,District,Semi-Urban,Services,2830433,382.26,7404.5,61.46,69.32,53.53,64004.0,32.2,12.92,1100,45,69.31,72.15,8324,347.9,23.1,37.93,2246.0,1953.0,24.78,37.26,61.86
2023,Khyber-Pakhtunkhwa,Malakand,Shangla,District,Rural,Mining,2713311,510.74,5312.6,64.56,73.74,59.1,56639.0,24.92,8.47,849,27,68.66,60.36,4616,278.6,26.0,29.5,1966.0,2772.0,31.19,37.29,62.47
2024,Khyber-Pakhtunkhwa,Malakand,Shangla,District,Rural,Agriculture,3148947,480.34,6555.7,51.24,57.44,44.27,62654.0,29.39,11.29,1489,75,59.53,46.62,4582,618.1,30.2,31.67,2589.0,2667.0,48.06,51.42,59.36
2015,Khyber-Pakhtunkhwa,Malakand,Swat,District,Rural,Agriculture,2721883,502.82,5413.3,54.63,63.85,34.84,51282.0,30.81,9.55,646,45,59.25,64.43,6206,698.9,20.4,16.59,1646.0,3257.0,26.48,50.55,62.55
2016,Khyber-Pakhtunkhwa,Malakand,Swat,District,Urban,Healthcare,2794668,417.87,6687.9,53.78,57.51,41.2,26861.0,35.46,11.44,797,33,49.67,54.59,7670,387.8,20.8,40.94,788.0,1408.0,43.61,50.18,62.23
2017,Khyber-Pakhtunkhwa,Malakand,Swat,District,Rural,Manufacturing,2792796,412.48,6770.8,56.85,65.11,47.09,41290.0,33.0,11.48,1236,29,52.49,66.68,6837,341.3,19.2,26.96,1095.0,1857.0,10.9,57.83,64.42
2018,Khyber-Pakhtunkhwa,Malakand,Swat,District,Rural,Manufacturing,2821317,1200.31,2350.5,55.39,64.45,49.59,51551.0,31.21,11.86,625,35,63.37,50.9,1900,627.9,19.9,31.98,1671.0,3269.0,18.01,36.6,65.84
2019,Khyber-Pakhtunkhwa,Malakand,Swat,District,Rural,Manufacturing,2909683,370.92,7844.6,56.65,66.95,43.81,34188.0,29.72,14.52,1047,43,52.37,55.26,2612,431.8,28.8,27.49,1540.0,1553.0,40.92,40.06,61.9
2020,Khyber-Pakhtunkhwa,Malakand,Swat,District,Urban,Healthcare,3056327,530.02,5766.4,56.67,66.62,39.23,35637.0,31.19,9.16,1005,34,62.95,52.32,2823,599.8,25.1,30.19,946.0,1441.0,14.08,46.11,63.11
2021,Khyber-Pakhtunkhwa,Malakand,Swat,District,Rural,Agriculture,3308205,632.14,5233.4,49.57,52.62,39.74,48413.0,38.02,13.08,965,48,49.46,53.41,2317,579.2,30.6,34.14,1659.0,2104.0,26.15,50.26,60.7
2022,Khyber-Pakhtunkhwa,Malakand,Swat,District,Semi-Urban,Manufacturing,3406584,1069.56,3185.0,54.03,63.34,38.61,36881.0,34.51,15.59,1369,46,59.91,54.71,1679,558.3,26.3,44.61,1151.0,1605.0,31.31,46.76,59.56
2023,Khyber-Pakhtunkhwa,Malakand,Swat,District,Rural,Mining,3367525,432.8,7780.7,56.02,62.03,36.71,42570.0,30.36,10.33,726,39,63.93,57.76,3499,460.5,28.8,29.95,1235.0,2293.0,11.28,38.9,64.37
2024,Khyber-Pakhtunkhwa,Malakand,Swat,District,Urban,Construction,3472807,454.78,7636.2,60.91,64.32,44.01,53197.0,24.49,12.47,937,71,64.77,67.54,3427,276.9,19.3,17.91,1065.0,1910.0,25.57,44.76,65.32
2015,Khyber-Pakhtunkhwa,Mardan,Buner,District,Semi-Urban,Education,2785045,1226.15,2271.4,48.08,53.53,35.92,26572.0,34.95,14.25,1067,61,46.95,54.57,1486,672.8,23.2,37.14,701.0,1299.0,31.19,51.23,57.48
2016,Khyber-Pakhtunkhwa,Mardan,Buner,District,Rural,Mining,2839095,1223.45,2320.6,54.51,63.26,45.27,39996.0,35.69,11.65,597,44,53.84,65.04,1518,449.9,22.6,33.28,886.0,1981.0,49.27,52.68,60.7
2017,Khyber-Pakhtunkhwa,Mardan,Buner,District,Rural,Manufacturing,2946116,1362.24,2162.7,49.32,60.47,33.05,45370.0,22.63,12.63,770,34,49.93,48.72,1621,661.6,26.5,32.6,968.0,1909.0,39.05,41.95,57.84
2018,Khyber-Pakhtunkhwa,Mardan,Buner,District,Urban,Agriculture,2889264,1562.55,1849.1,47.67,53.66,39.98,39655.0,37.84,12.1,1178,49,53.04,50.14,1328,380.5,31.4,42.57,891.0,2278.0,33.28,47.73,58.68
2019,Khyber-Pakhtunkhwa,Mardan,Buner,District,Rural,Services,2927336,448.52,6526.6,55.03,61.04,35.63,58075.0,33.54,11.2,1437,49,58.14,54.45,4454,477.3,24.8,17.88,2454.0,2012.0,44.71,49.41,57.61
2020,Khyber-Pakhtunkhwa,Mardan,Buner,District,Rural,Agriculture,3231423,757.58,4265.5,52.25,61.84,40.88,61514.0,25.7,11.58,744,39,59.68,63.84,1856,305.8,20.5,32.11,1852.0,4144.0,49.16,44.35,59.05
2021,Khyber-Pakhtunkhwa,Mardan,Buner,District,Urban,Services,3225146,488.94,6596.3,52.7,63.6,42.2,36208.0,36.26,14.58,771,47,48.16,50.43,4506,310.8,24.9,25.56,1457.0,2197.0,40.89,52.16,56.98
2022,Khyber-Pakhtunkhwa,Mardan,Buner,District,Semi-Urban,Mining,2998140,1110.71,2699.3,55.02,60.99,42.06,40034.0,34.15,10.81,922,44,53.99,47.48,1039,305.8,28.2,34.93,1674.0,2215.0,17.89,42.29,63.82
2023,Khyber-Pakhtunkhwa,Mardan,Buner,District,Semi-Urban,Manufacturing,3283076,421.51,7788.9,56.41,59.17,44.53,41538.0,31.06,9.67,807,60,63.15,64.65,6608,616.3,25.3,27.32,1733.0,2596.0,26.78,45.84,62.41
2024,Khyber-Pakhtunkhwa,Mardan,Buner,District,Urban,Construction,3115271,524.41,5940.5,49.06,58.49,33.24,52718.0,36.8,14.11,1033,39,48.68,49.72,6942,342.0,28.5,40.63,2310.0,2785.0,13.57,48.67,60.01
2015,Khyber-Pakhtunkhwa,Mardan,Mardan,District,Rural,Agriculture,3067194,475.32,6452.9,56.94,60.8,41.61,41253.0,34.01,7.48,751,71,59.85,52.7,5447,717.7,21.8,27.97,1951.0,2357.0,32.57,43.49,60.56
2016,Khyber-Pakhtunkhwa,Mardan,Mardan,District,Semi-Urban,Agriculture,3118774,4870.1,640.4,55.64,57.82,47.32,38141.0,38.59,11.04,961,65,54.08,59.27,544,737.9,22.5,20.69,1596.0,2074.0,24.61,47.55,62.87
2017,Khyber-Pakhtunkhwa,Mardan,Mardan,District,Rural,Mining,3200602,644.73,4964.2,43.91,54.45,36.63,39746.0,35.93,11.49,883,46,47.88,44.18,4606,409.8,29.5,36.27,1597.0,1599.0,32.45,40.53,63.27
2018,Khyber-Pakhtunkhwa,Mardan,Mardan,District,Semi-Urban,Agriculture,3167710,408.32,7757.9,55.75,60.9,46.37,56028.0,34.59,10.15,813,42,55.36,51.54,3415,742.4,23.2,28.15,2104.0,3080.0,40.35,43.16,62.56
2019,Khyber-Pakhtunkhwa,Mardan,Mardan,District,Rural,Construction,3374027,540.97,6237.1,53.22,64.71,42.54,41973.0,30.09,10.3,793,59,59.06,65.03,3096,437.6,25.5,17.91,2089.0,2217.0,15.56,47.69,57.6
2020,Khyber-Pakhtunkhwa,Mardan,Mardan,District,Urban,Education,3295549,520.51,6331.4,53.33,58.96,43.54,33725.0,33.94,11.76,784,51,54.12,60.36,7371,459.1,26.4,38.73,1445.0,1440.0,14.75,60.97,63.27
2021,Khyber-Pakhtunkhwa,Mardan,Mardan,District,Urban,Construction,3523627,507.51,6942.9,53.36,60.69,44.03,43642.0,29.26,8.98,1011,51,60.42,54.35,6183,712.0,20.5,32.11,1768.0,1481.0,25.03,44.58,62.94
2022,Khyber-Pakhtunkhwa,Mardan,Mardan,District,Urban,Mining,3633596,999.06,3637.0,59.03,65.11,45.47,45972.0,27.29,13.51,1415,87,56.49,62.37,1909,501.7,19.1,31.26,1705.0,2247.0,11.03,45.44,63.49
2023,Khyber-Pakhtunkhwa,Mardan,Mardan,District,Urban,Education,3381632,556.9,6072.2,60.36,71.11,49.83,45413.0,27.92,9.42,727,42,62.61,68.58,6857,675.2,20.3,38.73,1348.0,1895.0,17.88,44.92,64.38
2024,Khyber-Pakhtunkhwa,Mardan,Mardan,District,Rural,Manufacturing,4085320,1031.95,3958.8,52.53,60.57,45.87,39958.0,26.98,11.74,1493,53,62.13,60.59,2060,736.4,25.0,23.73,1665.0,1310.0,24.91,47.21,58.83
2015,Khyber-Pakhtunkhwa,Mardan,Swabi,District,Rural,Education,2446493,556.24,4398.3,57.35,65.42,41.62,37003.0,33.74,10.48,717,38,63.36,67.9,1413,691.7,25.5,18.92,1274.0,2185.0,54.51,40.45,61.46
2016,Khyber-Pakhtunkhwa,Mardan,Swabi,District,Semi-Urban,Healthcare,2488876,373.29,6667.4,49.89,53.35,43.03,37851.0,37.47,10.39,577,40,55.65,52.64,5479,574.8,24.0,27.85,1656.0,2229.0,21.81,45.58,60.57
2017,Khyber-Pakhtunkhwa,Mardan,Swabi,District,Rural,Services,2541148,1624.13,1564.6,52.21,61.73,36.57,47750.0,39.2,13.43,931,36,50.96,50.98,885,596.9,24.4,30.38,1592.0,2936.0,44.06,42.32,61.09
2018,Khyber-Pakhtunkhwa,Mardan,Swabi,District,Rural,Education,2653845,535.24,4958.2,57.3,68.75,47.94,46095.0,35.35,13.05,619,54,55.9,53.13,2847,435.4,23.1,30.01,1908.0,2624.0,17.12,46.11,60.39
2019,Khyber-Pakhtunkhwa,Mardan,Swabi,District,Rural,Mining,2584983,1765.52,1464.1,58.54,60.66,51.31,56012.0,36.39,12.04,676,28,56.54,54.31,1421,675.5,26.2,22.58,2794.0,2590.0,26.39,42.64,63.04
2020,Khyber-Pakhtunkhwa,Mardan,Swabi,District,Rural,Construction,2774219,900.25,3081.6,53.49,60.74,45.95,34144.0,29.23,11.55,1124,30,52.85,52.95,963,682.7,24.8,26.63,1653.0,1492.0,17.89,58.63,62.84
2021,Khyber-Pakhtunkhwa,Mardan,Swabi,District,Rural,Healthcare,2718606,1050.72,2587.4,54.1,64.5,35.51,37228.0,35.12,11.6,627,31,58.44,53.12,2610,479.7,30.8,38.2,1748.0,2221.0,48.06,52.45,58.43
2022,Khyber-Pakhtunkhwa,Mardan,Swabi,District,Urban,Mining,2792729,537.27,5198.0,67.83,77.81,61.64,30809.0,30.88,7.7,575,39,65.12,76.89,2719,673.3,25.5,29.17,853.0,1836.0,30.1,44.42,64.54
2023,Khyber-Pakhtunkhwa,Mardan,Swabi,District,Semi-Urban,Manufacturing,3033386,1297.34,2338.2,58.4,68.71,50.55,56784.0,35.81,12.74,745,45,53.16,61.82,1801,526.0,19.3,34.4,1239.0,2220.0,12.87,46.59,59.74
2024,Khyber-Pakhtunkhwa,Mardan,Swabi,District,Urban,Manufacturing,3045741,764.87,3982.0,60.0,63.97,53.75,55584.0,29.72,8.73,843,35,58.78,63.68,3338,348.2,19.6,24.79,1612.0,1689.0,34.41,46.62,62.74
2015,Khyber-Pakhtunkhwa,Peshawar,Charsadda,District,Rural,Services,1642984,430.12,3819.8,50.72,55.43,39.61,47039.0,33.7,10.05,418,21,55.17,58.22,2889,746.1,21.5,38.67,1666.0,3201.0,38.4,48.09,63.12
2016,Khyber-Pakhtunkhwa,Peshawar,Charsadda,District,Semi-Urban,Construction,1671721,706.06,2367.7,51.63,56.82,39.32,53305.0,39.42,7.69,591,22,51.1,52.69,1766,738.6,31.2,21.73,1352.0,3221.0,53.85,51.22,56.0
2017,Khyber-Pakhtunkhwa,Peshawar,Charsadda,District,Rural,Construction,1732310,248.71,6965.2,56.75,61.8,47.14,28672.0,22.74,8.93,572,21,63.41,52.11,2734,304.4,21.2,34.4,832.0,1559.0,44.49,47.39,61.73
2018,Khyber-Pakhtunkhwa,Peshawar,Charsadda,District,Rural,Healthcare,1765563,1055.39,1672.9,64.49,73.02,44.77,31631.0,31.64,10.72,410,20,70.83,67.02,1595,328.6,31.4,21.52,850.0,1282.0,45.49,56.38,65.6
2019,Khyber-Pakhtunkhwa,Peshawar,Charsadda,District,Urban,Agriculture,1873427,571.0,3280.9,55.03,57.08,38.59,57066.0,34.75,10.18,641,22,61.96,53.08,3844,404.0,25.9,27.6,1747.0,3550.0,52.3,50.54,67.73
2020,Khyber-Pakhtunkhwa,Peshawar,Charsadda,District,Rural,Manufacturing,1945461,3011.1,646.1,52.47,57.72,35.6,56278.0,35.85,11.41,473,37,57.97,50.49,657,436.7,22.5,18.13,2168.0,2679.0,35.2,43.62,59.08
2021,Khyber-Pakhtunkhwa,Peshawar,Charsadda,District,Urban,Manufacturing,1816236,1066.41,1703.1,61.64,73.24,50.79,31501.0,31.13,9.37,435,18,64.37,71.44,940,723.4,28.9,24.21,1203.0,1418.0,41.79,51.01,64.96
2022,Khyber-Pakhtunkhwa,Peshawar,Charsadda,District,Rural,Manufacturing,1792695,697.45,2570.3,54.02,60.16,37.39,54690.0,33.08,13.17,576,18,50.29,48.61,2135,624.9,22.5,29.43,2036.0,2870.0,16.83,47.8,62.2
2023,Khyber-Pakhtunkhwa,Peshawar,Charsadda,District,Rural,Healthcare,1939506,421.69,4599.4,57.98,66.97,39.92,43692.0,32.6,11.09,487,26,64.44,63.07,2875,320.2,28.8,20.93,1887.0,2617.0,43.26,44.28,59.19
2024,Khyber-Pakhtunkhwa,Peshawar,Charsadda,District,Urban,Healthcare,1884748,853.75,2207.6,48.47,56.89,41.37,44728.0,39.95,12.18,610,36,58.19,46.38,1628,551.8,31.1,20.52,959.0,2287.0,29.23,53.37,61.52
2015,Khyber-Pakhtunkhwa,Peshawar,Nowshera,District,Rural,Mining,2860715,756.99,3779.1,57.66,67.0,43.14,24518.0,33.33,12.67,1364,40,63.86,64.81,3788,496.0,26.0,46.09,882.0,1519.0,35.44,56.33,60.92
2016,Khyber-Pakhtunkhwa,Peshawar,Nowshera,District,Rural,Education,2949847,397.62,7418.7,50.03,60.84,38.26,27612.0,38.84,10.31,770,29,56.31,57.87,4431,465.5,21.9,31.05,703.0,1464.0,43.25,57.52,58.97
2017,Khyber-Pakhtunkhwa,Peshawar,Nowshera,District,Urban,Healthcare,2984178,493.58,6045.9,44.43,49.65,39.3,51979.0,37.7,14.8,615,31,46.01,43.64,3026,561.8,23.5,30.74,2091.0,2238.0,16.77,56.99,59.03
2018,Khyber-Pakhtunkhwa,Peshawar,Nowshera,District,Rural,Mining,3048723,485.89,6274.5,53.57,57.39,45.48,49493.0,36.18,11.9,818,49,61.42,62.88,7215,326.3,28.8,12.69,1048.0,1737.0,11.18,52.56,60.29
2019,Khyber-Pakhtunkhwa,Peshawar,Nowshera,District,Semi-Urban,Construction,3080930,438.31,7029.2,53.92,63.65,35.13,29507.0,27.67,13.09,643,38,51.56,49.1,2887,745.5,21.3,26.79,1429.0,915.0,11.23,47.8,64.39
2020,Khyber-Pakhtunkhwa,Peshawar,Nowshera,District,Rural,Mining,3343621,1619.67,2064.4,52.54,59.6,33.0,59510.0,33.51,10.87,1556,50,50.26,60.07,845,545.1,19.7,15.98,2541.0,2072.0,36.02,44.62,62.54
2021,Khyber-Pakhtunkhwa,Peshawar,Nowshera,District,Rural,Healthcare,3264077,533.12,6122.6,57.4,63.97,50.72,51768.0,31.7,11.34,1106,63,66.44,64.79,4151,429.9,21.6,35.34,2529.0,1760.0,10.33,47.23,65.18
2022,Khyber-Pakhtunkhwa,Peshawar,Nowshera,District,Rural,Education,3263797,3297.46,989.8,48.13,50.29,29.99,41717.0,36.82,12.36,674,41,46.76,54.94,873,575.2,29.3,27.35,1239.0,1486.0,53.39,53.58,59.52
2023,Khyber-Pakhtunkhwa,Peshawar,Nowshera,District,Urban,Manufacturing,3253819,2229.24,1459.6,57.62,63.34,42.71,53289.0,28.33,7.6,1318,39,63.29,50.2,988,651.2,30.1,21.3,1345.0,2704.0,28.67,38.47,65.69
2024,Khyber-Pakhtunkhwa,Peshawar,Nowshera,District,Urban,Agriculture,3235828,586.73,5515.0,51.22,61.63,40.62,65110.0,31.07,12.5,1045,33,57.89,44.14,5542,352.0,23.7,30.55,1950.0,4268.0,37.99,53.3,59.16
2015,Khyber-Pakhtunkhwa,Peshawar,Peshawar,District,Rural,Construction,646241,761.41,848.7,50.17,62.05,43.78,53234.0,35.19,14.04,206,8,53.03,45.8,609,257.5,30.6,33.95,1728.0,3510.0,15.06,51.14,60.21
2016,Khyber-Pakhtunkhwa,Peshawar,Peshawar,District,Rural,Construction,659818,100.42,6570.7,54.56,63.25,35.21,52964.0,35.94,11.69,329,9,62.6,51.52,6398,411.4,25.6,19.98,2413.0,2005.0,14.34,48.5,59.38
2017,Khyber-Pakhtunkhwa,Peshawar,Peshawar,District,Rural,Services,666407,88.07,7567.2,54.6,58.45,46.21,29868.0,27.08,11.27,248,14,50.56,54.49,7108,693.5,19.5,32.31,1011.0,1602.0,39.67,55.61,60.2
2018,Khyber-Pakhtunkhwa,Peshawar,Peshawar,District,Urban,Healthcare,691708,276.63,2500.4,51.53,61.52,35.31,60761.0,27.61,11.2,147,11,51.99,46.7,1195,618.2,29.9,21.89,1547.0,2170.0,38.43,45.83,61.68
2019,Khyber-Pakhtunkhwa,Peshawar,Peshawar,District,Urban,Mining,674755,393.64,1714.1,54.23,60.75,40.57,55637.0,32.83,11.88,227,9,56.07,52.97,919,564.4,29.4,29.09,1847.0,3327.0,19.67,49.64,62.96
2020,Khyber-Pakhtunkhwa,Peshawar,Peshawar,District,Rural,Services,736120,242.93,3030.1,58.6,69.16,52.15,46909.0,32.4,11.22,147,14,57.86,67.25,1081,636.0,24.4,38.02,1452.0,2612.0,44.35,47.75,61.68
2021,Khyber-Pakhtunkhwa,Peshawar,Peshawar,District,Rural,Healthcare,790345,358.69,2203.4,52.94,64.78,41.4,33480.0,30.89,10.56,234,16,55.9,50.91,2587,686.7,22.3,33.12,853.0,2103.0,13.73,53.41,60.07
2022,Khyber-Pakhtunkhwa,Peshawar,Peshawar,District,Semi-Urban,Mining,806429,516.01,1562.8,60.79,68.1,47.35,49624.0,24.9,10.72,199,9,57.69,66.56,978,512.8,28.9,33.6,1336.0,3369.0,12.11,37.41,64.08
2023,Khyber-Pakhtunkhwa,Peshawar,Peshawar,District,Urban,Services,776823,620.94,1251.0,52.85,60.95,33.72,45582.0,33.53,11.99,311,9,56.84,61.79,430,625.6,20.1,52.2,2237.0,2098.0,48.62,47.37,58.6
2024,Khyber-Pakhtunkhwa,Peshawar,Peshawar,District,Rural,Mining,770577,210.57,3659.5,70.36,74.44,55.33,53099.0,27.42,8.2,224,12,74.14,65.8,4257,287.4,27.9,33.09,1156.0,2465.0,43.01,32.83,65.0
2015,Punjab,Bahawalpur,Bahawalnagar,District,Rural,Services,1907124,291.06,6552.4,59.93,62.63,42.41,102992.0,26.06,12.11,393,34,65.73,63.86,2793,356.4,20.7,40.44,3300.0,6081.0,53.35,37.54,59.27
2016,Punjab,Bahawalpur,Bahawalnagar,District,Semi-Urban,Construction,1954131,956.16,2043.7,64.7,72.68,48.13,99619.0,28.56,8.96,805,34,63.14,67.73,1162,408.2,25.3,12.97,2366.0,5949.0,20.45,46.14,64.77
2017,Punjab,Bahawalpur,Bahawalnagar,District,Urban,Education,1989463,253.68,7842.4,60.96,67.62,54.26,59185.0,30.38,9.07,420,32,58.94,71.57,7233,352.6,30.5,39.47,2594.0,3571.0,36.32,40.25,63.2
2018,Punjab,Bahawalpur,Bahawalnagar,District,Urban,Healthcare,1997870,250.3,7982.0,62.06,68.28,42.61,63386.0,34.73,9.01,524,26,61.29,70.14,7925,466.0,29.7,13.0,2869.0,3759.0,38.71,44.94,64.86
2019,Punjab,Bahawalpur,Bahawalnagar,District,Rural,Services,2168393,731.03,2966.2,61.95,66.16,48.16,106403.0,26.99,11.1,541,39,61.1,52.91,1167,485.2,24.8,31.39,4621.0,6208.0,29.52,54.74,65.24
